ID	Stromal_score	Immune_score	ESTIMATE_score	CancerType
TCGA-DK-A6B2-01	317.2684898	1206.897643	1524.166133	BLCA
TCGA-XF-A9T5-01	-193.1727149	1998.629375	1805.45666	BLCA
TCGA-GC-A3RB-01	-1519.407209	-258.7713191	-1778.178528	BLCA
TCGA-XF-AAME-01	1228.791866	2243.121009	3471.912875	BLCA
TCGA-FD-A6TE-01	-2070.464161	-155.8288604	-2226.293021	BLCA
TCGA-BT-A20O-01	682.7753633	3065.654765	3748.430128	BLCA
TCGA-E7-A6ME-01	-1809.091586	144.1459057	-1664.94568	BLCA
TCGA-XF-AAMJ-01	897.5930318	514.3959365	1411.988968	BLCA
TCGA-CF-A1HR-01	-1080.991049	343.2125134	-737.7785352	BLCA
TCGA-CF-A9FL-01	-634.9998744	-26.6577964	-661.6576708	BLCA
TCGA-H4-A2HO-01	-1030.919682	462.1918947	-568.727787	BLCA
TCGA-FJ-A3Z7-01	-97.1142052	270.1967248	173.0825196	BLCA
TCGA-DK-AA6L-01	-1107.048519	695.6940277	-411.3544911	BLCA
TCGA-BT-A3PJ-01	-824.7311574	954.59354	129.8623826	BLCA
TCGA-K4-A5RH-01	621.2324665	2475.51467	3096.747137	BLCA
TCGA-BT-A0YX-01	-823.6894041	900.0497678	76.3603637	BLCA
TCGA-XF-A9SK-01	429.4190057	1092.42791	1521.846915	BLCA
TCGA-UY-A9PH-01	-57.7484449	1834.617769	1776.869324	BLCA
TCGA-ZF-A9RC-01	-249.7879776	-305.6381148	-555.4260924	BLCA
TCGA-DK-AA74-01	1113.091195	2227.272862	3340.364057	BLCA
TCGA-XF-A9SX-01	688.2371695	1773.177189	2461.414359	BLCA
TCGA-XF-AAN1-01	-1614.585724	-180.2215832	-1794.807307	BLCA
TCGA-FD-A43X-01	-1937.161618	-583.9437361	-2521.105354	BLCA
TCGA-K4-A3WS-01	791.962616	1103.885362	1895.847978	BLCA
TCGA-G2-AA3D-01	-2234.452925	-384.2935915	-2618.746517	BLCA
TCGA-GU-AATQ-01	-1287.098743	139.611638	-1147.487105	BLCA
TCGA-GD-A3OQ-01	-1392.748813	-65.3753827	-1458.124195	BLCA
TCGA-DK-A3WW-01	-653.36702	1857.531475	1204.164455	BLCA
TCGA-PQ-A6FI-01	-1393.625873	420.5408259	-973.0850467	BLCA
TCGA-BL-A5ZZ-01	611.4479657	1136.92336	1748.371326	BLCA
TCGA-E7-A5KE-01	-2298.034356	-1005.381541	-3303.415897	BLCA
TCGA-FD-A3SQ-01	489.1797519	774.6579717	1263.837724	BLCA
TCGA-DK-A1AG-01	-1949.383307	106.9060807	-1842.477226	BLCA
TCGA-DK-A3IT-01	-390.0113846	434.2827019	44.2713172	BLCA
TCGA-XF-AAMR-01	201.4800667	508.9619906	710.4420573	BLCA
TCGA-HQ-A5NE-01	-753.9950324	339.9013188	-414.0937136	BLCA
TCGA-ZF-AA52-01	523.9483616	915.7646961	1439.713058	BLCA
TCGA-E7-A541-01	-1009.339288	1141.250963	131.911675	BLCA
TCGA-UY-A8OB-01	-1439.563629	473.1757615	-966.387867	BLCA
TCGA-XF-AAN5-01	-791.4087553	1347.159782	555.7510265	BLCA
TCGA-E7-A97P-01	-187.9362436	1654.509744	1466.5735	BLCA
TCGA-GC-A3RD-01	-1370.062758	-166.3093297	-1536.372088	BLCA
TCGA-E7-A7XN-01	-1114.625368	1836.444613	721.819245	BLCA
TCGA-GV-A3JX-01	-1512.886603	482.6352157	-1030.251387	BLCA
TCGA-4Z-AA83-01	-1049.789337	395.7524662	-654.0368711	BLCA
TCGA-ZF-AA5N-01	-1643.227087	-202.9668725	-1846.193959	BLCA
TCGA-H4-A2HQ-01	-1892.933475	-404.2148452	-2297.14832	BLCA
TCGA-G2-A2EF-01	-834.5734188	1574.16376	739.5903409	BLCA
TCGA-UY-A9PF-01	-749.8988512	395.5351441	-354.3637071	BLCA
TCGA-XF-A9SU-01	180.1837356	837.1257247	1017.30946	BLCA
TCGA-DK-A3WY-01	547.0121213	3016.189734	3563.201855	BLCA
TCGA-5N-A9KM-01	-354.4061644	757.9895984	403.583434	BLCA
TCGA-DK-AA6T-01	-349.0696288	2070.454801	1721.385172	BLCA
TCGA-E5-A4TZ-01	-2142.73039	-275.20996	-2417.94035	BLCA
TCGA-FD-A43N-01	-354.9803773	257.7657116	-97.2146657	BLCA
TCGA-5N-A9KI-01	-282.8481384	639.2639159	356.4157775	BLCA
TCGA-FD-A3SP-01	1342.156443	1820.1241	3162.280543	BLCA
TCGA-XF-AAMH-01	-1066.02795	-634.9083458	-1700.936296	BLCA
TCGA-DK-A2I2-01	-48.4860548	1469.058288	1420.572233	BLCA
TCGA-KQ-A41O-01	-2612.026057	-1494.262512	-4106.288568	BLCA
TCGA-DK-A3IM-01	-1987.290379	-697.435437	-2684.725816	BLCA
TCGA-4Z-AA7Q-01	-766.68448	1688.36855	921.6840703	BLCA
TCGA-DK-A2I6-01	-1131.088102	-227.0666747	-1358.154777	BLCA
TCGA-DK-A6B6-01	-1604.640264	731.09144	-873.5488243	BLCA
TCGA-CU-A72E-01	-478.8269399	250.68859	-228.1383499	BLCA
TCGA-FT-A61P-01	353.4941081	1115.699836	1469.193944	BLCA
TCGA-DK-A3IQ-01	1497.513629	306.1443537	1803.657983	BLCA
TCGA-UY-A78N-01	-1382.286209	-921.0704976	-2303.356706	BLCA
TCGA-4Z-AA7Y-01	-1929.5448	-502.9720181	-2432.516818	BLCA
TCGA-G2-A2EK-01	-1173.390843	318.1546389	-855.236204	BLCA
TCGA-FD-A3SO-01	97.2522646	941.143896	1038.396161	BLCA
TCGA-GC-A3WC-01	-475.8743583	1637.257522	1161.383164	BLCA
TCGA-4Z-AA7M-01	-1257.269593	-200.1672165	-1457.43681	BLCA
TCGA-BL-A3JM-01	-780.0353621	-215.9767361	-996.0120982	BLCA
TCGA-ZF-AA4U-01	-2378.962058	-358.1505129	-2737.112571	BLCA
TCGA-ZF-AA53-01	338.4344807	1557.514523	1895.949003	BLCA
TCGA-CF-A9FF-01	-902.826481	355.689342	-547.137139	BLCA
TCGA-DK-A3IV-01	-1668.825192	1144.633737	-524.1914552	BLCA
TCGA-FJ-A3Z9-01	-2074.963716	-778.1954619	-2853.159178	BLCA
TCGA-XF-AAMT-01	488.2875105	926.876905	1415.164416	BLCA
TCGA-XF-AAN4-01	1318.67946	1929.442783	3248.122243	BLCA
TCGA-XF-A8HB-01	-2123.657729	-399.9686692	-2523.626399	BLCA
TCGA-BT-A0S7-01	-704.9275302	-56.1874776	-761.1150078	BLCA
TCGA-FD-A5C1-01	375.3378945	1684.376699	2059.714594	BLCA
TCGA-FD-A3B4-01	-144.0115391	1269.255624	1125.244085	BLCA
TCGA-FD-A3N5-01	-1164.866979	289.3221121	-875.5448671	BLCA
TCGA-4Z-AA86-01	296.8539941	1745.117834	2041.971829	BLCA
TCGA-4Z-AA7O-01	-846.0324927	555.1369168	-290.8955759	BLCA
TCGA-BT-A2LB-01	-84.844443	919.0698752	834.2254322	BLCA
TCGA-GV-A3QF-01	-1904.63667	-512.2878682	-2416.924538	BLCA
TCGA-E7-A7DV-01	302.3511854	1943.705441	2246.056626	BLCA
TCGA-XF-A9SI-01	386.7978844	2697.368783	3084.166668	BLCA
TCGA-C4-A0F7-01	-1237.197153	-493.1925332	-1730.389686	BLCA
TCGA-DK-A6AW-01	-1318.892083	-339.1314234	-1658.023506	BLCA
TCGA-DK-AA75-01	-2075.476667	-766.8127502	-2842.289417	BLCA
